stage_id,stage
STA00183,Negotiation
STA00184,Won
STA00185,Closed
STA00186,Won
STA00187,Won
STA00188,Prospecting
STA00189,Prospecting
STA00190,Won
STA00191,Won
STA00192,Won
STA00193,Closed
STA00194,Prospecting
STA00195,Closed
STA00196,Prospecting
STA00197,Closed
STA00198,Prospecting
STA00199,Closed
STA00200,Won
STA00201,Won
STA00202,Prospecting
STA00203,Negotiation
STA00204,Won
STA00205,Closed
STA00206,Prospecting
STA00207,Closed
STA00208,Closed
STA00209,Negotiation
STA00210,Negotiation
STA00211,Won
STA00212,Won
STA00213,Prospecting
STA00214,Prospecting
STA00215,Negotiation
STA00216,Closed
STA00217,Negotiation
STA00218,Closed
STA00219,Won
STA00220,Negotiation
STA00221,Won
STA00222,Won
STA00223,Closed
STA00224,Closed
STA00225,Negotiation
STA00226,Prospecting
STA00227,Won
STA00228,Won
STA00229,Closed
STA00230,Negotiation
STA00231,Closed
STA00232,Prospecting
STA00233,Negotiation
STA00234,Prospecting
STA00235,Closed
STA00236,Prospecting
STA00237,Prospecting
STA00238,Negotiation
STA00239,Won
STA00240,Prospecting
STA00241,Won
STA00242,Negotiation
STA00243,Closed
STA00244,Prospecting
STA00245,Won
STA00246,Won
STA00247,Prospecting
STA00248,Negotiation
STA00249,Negotiation
STA00250,Negotiation
STA00251,Negotiation
STA00252,Prospecting
STA00253,Closed
STA00254,Prospecting
STA00255,Won
STA00256,Negotiation
STA00257,Closed
STA00258,Prospecting
STA00259,Closed
STA00260,Prospecting
STA00261,Negotiation
STA00262,Negotiation
STA00263,Closed
STA00264,Negotiation
STA00265,Closed
STA00266,Prospecting
STA00267,Closed
STA00268,Closed
STA00269,Negotiation
STA00270,Won
STA00271,Closed
STA00272,Negotiation
STA00273,Prospecting
STA00274,Closed
STA00275,Prospecting
STA00276,Prospecting
STA00277,Prospecting
STA00278,Negotiation
STA00279,Closed
STA00280,Won
STA00281,Closed
STA00282,Prospecting
STA00283,Won
STA00284,Negotiation
STA00285,Closed
STA00286,Negotiation
STA00287,Prospecting
STA00288,Prospecting
STA00289,Negotiation
STA00290,Prospecting
STA00291,Closed
STA00292,Prospecting
STA00293,Negotiation
STA00294,Prospecting
STA00295,Won
STA00296,Negotiation
STA00297,Prospecting
STA00298,Prospecting
STA00299,Won
STA00300,Won
STA00301,Won
STA00302,Prospecting
STA00303,Closed
STA00304,Prospecting
STA00305,Prospecting
STA00306,Negotiation
STA00307,Prospecting
STA00308,Won
STA00309,Prospecting
STA00310,Won
STA00311,Closed
STA00312,Won
STA00313,Closed
STA00314,Prospecting
STA00315,Closed
STA00316,Prospecting
STA00317,Negotiation
STA00318,Prospecting
STA00319,Negotiation
STA00320,Closed
STA00321,Negotiation
STA00322,Won
STA00323,Prospecting
STA00324,Closed
STA00325,Closed
STA00326,Closed
STA00327,Closed
STA00328,Negotiation
STA00329,Negotiation
STA00330,Closed
STA00331,Won
STA00332,Won
STA00333,Prospecting
STA00334,Closed
STA00335,Closed
STA00336,Negotiation
STA00337,Won
STA00338,Negotiation
STA00339,Won
STA00340,Closed
STA00341,Won
STA00342,Closed
STA00343,Prospecting
STA00344,Closed
STA00345,Won
STA00346,Won
STA00347,Won
STA00348,Closed
STA00349,Prospecting
STA00350,Prospecting
STA00351,Won
STA00352,Negotiation
STA00353,Prospecting
STA00354,Won
STA00355,Closed
STA00356,Negotiation
STA00357,Won
STA00358,Negotiation
STA00359,Closed
STA00360,Prospecting
STA00361,Prospecting
STA00362,Prospecting
STA00363,Closed
STA00364,Negotiation
STA00365,Prospecting
STA00366,Won
STA00367,Won
STA00368,Negotiation
STA00369,Closed
STA00370,Closed
STA00371,Won
STA00372,Prospecting
STA00373,Prospecting
STA00374,Won
STA00375,Closed
STA00376,Negotiation
STA00377,Won
STA00378,Won
STA00379,Won
STA00380,Won
STA00381,Prospecting
STA00382,Closed
STA00383,Prospecting
STA00384,Prospecting
STA00385,Closed
STA00386,Closed
STA00387,Closed
STA00388,Prospecting
STA00389,Negotiation
STA00390,Closed
STA00391,Closed
STA00392,Prospecting
STA00393,Prospecting
STA00394,Negotiation
STA00395,Won
STA00396,Closed
STA00397,Prospecting
STA00398,Prospecting
STA00399,Won
STA00400,Negotiation
STA00401,Closed
STA00402,Prospecting
STA00403,Won
STA00404,Closed
STA00405,Won
STA00406,Prospecting
STA00407,Negotiation
STA00408,Won
STA00409,Won
STA00410,Closed
STA00411,Negotiation
STA00412,Closed
STA00413,Prospecting
STA00414,Prospecting
STA00415,Prospecting
STA00416,Closed
STA00417,Prospecting
STA00418,Prospecting
STA00419,Prospecting
STA00420,Closed
STA00421,Closed
STA00422,Negotiation
STA00423,Negotiation
STA00424,Closed
STA00425,Closed
STA00426,Closed
STA00427,Negotiation
STA00428,Won
STA00429,Prospecting
STA00430,Won
STA00431,Won
STA00432,Prospecting
STA00433,Closed
STA00434,Won
STA00435,Prospecting
STA00436,Negotiation
STA00437,Won
STA00438,Closed
STA00439,Closed
STA00440,Negotiation
STA00441,Prospecting
STA00442,Won
STA00443,Won
STA00444,Prospecting
STA00445,Negotiation
STA00446,Won
STA00447,Won
STA00448,Closed
STA00449,Negotiation
STA00450,Negotiation
STA00451,Won
STA00452,Negotiation
STA00453,Closed
STA00454,Closed
STA00455,Negotiation
STA00456,Prospecting
STA00457,Negotiation
STA00458,Prospecting
STA00459,Negotiation
STA00460,Negotiation
STA00461,Prospecting
STA00462,Closed
STA00463,Closed
STA00464,Negotiation
STA00465,Prospecting
STA00466,Negotiation
STA00467,Won
STA00468,Negotiation
STA00469,Prospecting
STA00470,Closed
STA00471,Prospecting
STA00472,Prospecting
STA00473,Negotiation
STA00474,Prospecting
STA00475,Won
STA00476,Closed
STA00477,Negotiation
STA00478,Prospecting
STA00479,Prospecting
STA00480,Won
STA00481,Closed
STA00482,Closed
STA00483,Won
STA00484,Negotiation
STA00485,Negotiation
STA00486,Prospecting
STA00487,Won
STA00488,Closed
STA00489,Prospecting
STA00490,Closed
STA00491,Won
STA00492,Won
STA00493,Closed
STA00494,Prospecting
STA00495,Negotiation
STA00496,Won
STA00497,Closed
STA00498,Prospecting
STA00499,Negotiation
STA00500,Won
