lead_id,created_date,lead_score,account_id,lead_source_id,lead_status_id,user_id,customer_id
LEA45158,2022-12-11,12,ACC05667,LSR00004,LST00001,USE97715,CUS15981
LEA99885,2020-02-22,39,ACC44225,LSR00004,LST00003,USE97715,CUS08983
LEA15639,2020-11-23,80,ACC49809,LSR00001,LST00001,USE70047,CUS44017
LEA21675,2020-02-16,23,ACC96812,LSR00001,LST00001,USE01758,CUS46575
LEA26783,2021-07-30,67,ACC83856,LSR00003,LST00002,USE42547,CUS55248
LEA99546,2021-10-12,70,ACC23712,LSR00003,LST00001,USE34324,CUS17517
LEA39184,2020-10-05,14,ACC38281,LSR00005,LST00003,USE01758,CUS60715
LEA66630,2021-09-01,79,ACC71969,LSR00004,LST00002,USE69267,CUS78491
LEA02007,2020-03-28,89,ACC35813,LSR00002,LST00002,USE47430,CUS01285
LEA99965,2022-06-28,59,ACC40067,LSR00003,LST00001,USE88869,CUS17408
LEA25553,2022-11-24,14,ACC81946,LSR00005,LST00003,USE01758,CUS54838
LEA52380,2022-11-09,70,ACC25534,LSR00003,LST00002,USE34324,CUS23346
LEA45073,2020-03-09,76,ACC89667,LSR00004,LST00002,USE08403,CUS32170
LEA79071,2021-01-10,55,ACC03980,LSR00006,LST00002,USE02355,CUS05891
LEA59827,2022-09-14,24,ACC17352,LSR00004,LST00001,USE21508,CUS73760
LEA14652,2020-11-24,48,ACC47958,LSR00004,LST00002,USE02355,CUS35757
LEA04834,2022-01-31,40,ACC22273,LSR00003,LST00002,USE30167,CUS31664
LEA87022,2020-03-31,42,ACC30633,LSR00004,LST00003,USE67246,CUS12235
LEA66651,2020-07-04,43,ACC47096,LSR00005,LST00003,USE02936,CUS19297
LEA35157,2022-01-17,98,ACC57426,LSR00005,LST00003,USE02355,CUS60430
LEA25991,2022-09-11,24,ACC14580,LSR00002,LST00002,USE40632,CUS50668
LEA75982,2022-11-23,71,ACC90584,LSR00003,LST00002,USE01758,CUS55465
LEA98981,2022-07-19,45,ACC81946,LSR00004,LST00003,USE01758,CUS54838
LEA32225,2022-08-25,93,ACC73380,LSR00002,LST00002,USE23457,CUS32525
LEA28839,2022-12-16,85,ACC43580,LSR00001,LST00003,USE14736,CUS91342
LEA41815,2021-07-03,17,ACC28892,LSR00006,LST00001,USE70047,CUS61347
LEA16639,2022-02-21,39,ACC73527,LSR00006,LST00001,USE23457,CUS06230
LEA46157,2022-02-26,45,ACC61421,LSR00002,LST00003,USE08403,CUS80166
LEA20419,2021-12-02,57,ACC31682,LSR00004,LST00003,USE51109,CUS28020
LEA40081,2021-05-26,53,ACC81946,LSR00003,LST00003,USE01758,CUS54838
LEA20970,2021-04-22,38,ACC72518,LSR00002,LST00003,USE51109,CUS95125
LEA60160,2022-01-25,39,ACC79218,LSR00002,LST00003,USE70047,CUS51067
LEA82711,2022-08-26,60,ACC25534,LSR00004,LST00003,USE34324,CUS23346
LEA82311,2020-05-07,75,ACC79218,LSR00004,LST00003,USE70047,CUS51067
LEA01735,2021-12-16,22,ACC21341,LSR00002,LST00002,USE01758,CUS19685
LEA10756,2021-09-25,21,ACC69866,LSR00005,LST00003,USE17947,CUS26470
LEA78907,2021-05-07,50,ACC48875,LSR00003,LST00002,USE64167,CUS34156
LEA51190,2022-03-13,50,ACC13106,LSR00006,LST00002,USE21141,CUS65660
LEA49349,2020-06-30,77,ACC70493,LSR00002,LST00002,USE97715,CUS88584
LEA94128,2021-11-08,35,ACC17352,LSR00004,LST00002,USE21508,CUS73760
LEA42908,2021-07-09,86,ACC31815,LSR00003,LST00001,USE88869,CUS05913
LEA70027,2021-04-24,40,ACC95015,LSR00004,LST00001,USE30167,CUS67403
LEA31271,2022-12-08,72,ACC41239,LSR00001,LST00003,USE21141,CUS12672
LEA78177,2022-12-15,21,ACC54881,LSR00005,LST00002,USE69267,CUS27369
LEA72333,2021-08-01,72,ACC00640,LSR00001,LST00002,USE23457,CUS07833
LEA23686,2022-10-28,24,ACC41695,LSR00005,LST00002,USE51109,CUS72030
LEA62983,2020-02-17,46,ACC05931,LSR00004,LST00001,USE70047,CUS72778
LEA90748,2021-11-26,65,ACC54881,LSR00001,LST00001,USE69267,CUS27369
LEA34166,2021-08-17,67,ACC14580,LSR00005,LST00003,USE40632,CUS50668
LEA81109,2020-03-20,64,ACC43187,LSR00003,LST00003,USE51109,CUS07869
LEA78340,2022-09-11,39,ACC26159,LSR00006,LST00002,USE46703,CUS69904
LEA06653,2021-12-20,74,ACC66132,LSR00006,LST00001,USE02355,CUS20816
LEA41080,2020-01-19,88,ACC54881,LSR00003,LST00002,USE69267,CUS27369
LEA00855,2021-02-28,67,ACC61421,LSR00006,LST00003,USE08403,CUS80166
LEA92693,2022-02-07,62,ACC70493,LSR00003,LST00003,USE97715,CUS88584
LEA37783,2021-03-14,79,ACC20110,LSR00001,LST00001,USE23457,CUS86687
LEA65383,2021-01-31,86,ACC68679,LSR00004,LST00001,USE86666,CUS24022
LEA19300,2022-04-01,32,ACC57426,LSR00002,LST00003,USE02355,CUS60430
LEA96026,2021-01-14,70,ACC47476,LSR00001,LST00003,USE23457,CUS74158
LEA28545,2022-03-14,22,ACC06205,LSR00006,LST00003,USE34324,CUS78183
LEA86732,2022-01-05,34,ACC81139,LSR00004,LST00002,USE47430,CUS78864
LEA22353,2021-09-03,83,ACC51971,LSR00006,LST00003,USE98230,CUS88763
LEA56413,2021-09-19,42,ACC17352,LSR00001,LST00001,USE21508,CUS73760
LEA93656,2022-08-23,54,ACC78884,LSR00005,LST00001,USE02355,CUS53195
LEA79870,2021-10-04,27,ACC91222,LSR00001,LST00002,USE97715,CUS36162
LEA96625,2020-01-01,79,ACC39192,LSR00001,LST00001,USE02355,CUS84175
LEA90640,2022-03-27,79,ACC10953,LSR00001,LST00002,USE95961,CUS96768
LEA38921,2022-06-04,47,ACC93619,LSR00006,LST00003,USE23457,CUS37785
LEA51131,2021-12-29,25,ACC39192,LSR00004,LST00001,USE02355,CUS84175
LEA10285,2022-02-14,88,ACC86083,LSR00006,LST00001,USE02355,CUS03946
LEA25764,2022-07-26,30,ACC35172,LSR00001,LST00002,USE01758,CUS59556
LEA22245,2021-02-05,44,ACC89667,LSR00001,LST00002,USE08403,CUS32170
LEA35032,2022-12-02,98,ACC35045,LSR00002,LST00003,USE47430,CUS23873
LEA44355,2022-06-01,26,ACC81139,LSR00005,LST00003,USE47430,CUS78864
LEA34622,2020-04-16,36,ACC68523,LSR00003,LST00002,USE48045,CUS46216
LEA32374,2020-04-27,15,ACC31815,LSR00006,LST00003,USE88869,CUS05913
LEA98205,2021-08-22,11,ACC59319,LSR00005,LST00003,USE02355,CUS79008
LEA28816,2020-04-10,86,ACC35329,LSR00006,LST00003,USE47430,CUS54745
LEA51278,2020-09-29,91,ACC05243,LSR00001,LST00003,USE14736,CUS86466
LEA56820,2020-11-17,36,ACC44225,LSR00002,LST00001,USE97715,CUS08983
LEA67346,2020-11-03,98,ACC53037,LSR00006,LST00001,USE14736,CUS37522
LEA62982,2022-11-20,37,ACC67875,LSR00002,LST00002,USE95961,CUS90008
LEA59252,2022-08-27,58,ACC35045,LSR00003,LST00002,USE47430,CUS23873
LEA40854,2022-11-25,87,ACC06205,LSR00006,LST00003,USE34324,CUS78183
LEA13017,2020-10-15,71,ACC16363,LSR00005,LST00002,USE51109,CUS94703
LEA95896,2022-10-22,57,ACC41239,LSR00005,LST00001,USE21141,CUS12672
LEA49660,2021-11-03,68,ACC13923,LSR00003,LST00003,USE01758,CUS63466
LEA58967,2021-01-28,48,ACC48452,LSR00001,LST00001,USE86666,CUS24364
LEA78897,2022-06-25,79,ACC48597,LSR00003,LST00001,USE48045,CUS07953
LEA85699,2021-11-19,77,ACC31815,LSR00003,LST00002,USE88869,CUS05913
LEA08246,2020-12-11,72,ACC14357,LSR00003,LST00003,USE90173,CUS50235
LEA56099,2020-02-09,88,ACC20110,LSR00003,LST00003,USE23457,CUS86687
LEA95954,2022-04-04,73,ACC61211,LSR00003,LST00001,USE35653,CUS21427
LEA87443,2022-02-14,48,ACC05058,LSR00006,LST00003,USE08695,CUS08763
LEA23053,2021-02-27,46,ACC22273,LSR00004,LST00001,USE30167,CUS31664
LEA59306,2021-05-01,28,ACC05243,LSR00003,LST00002,USE14736,CUS86466
LEA97649,2021-09-01,73,ACC96812,LSR00002,LST00002,USE01758,CUS46575
LEA11103,2020-01-10,54,ACC67875,LSR00006,LST00001,USE95961,CUS90008
LEA37180,2020-01-13,18,ACC35172,LSR00006,LST00002,USE01758,CUS59556
LEA94643,2021-02-07,77,ACC35813,LSR00001,LST00001,USE47430,CUS01285
LEA95724,2021-05-04,30,ACC62831,LSR00001,LST00003,USE16130,CUS00154
LEA94288,2021-01-09,94,ACC52571,LSR00005,LST00002,USE88869,CUS99043
LEA86163,2022-05-02,81,ACC33483,LSR00005,LST00003,USE42547,CUS78309
LEA88557,2022-12-29,82,ACC37341,LSR00002,LST00003,USE23457,CUS43088
LEA80136,2020-02-10,14,ACC40067,LSR00006,LST00002,USE88869,CUS17408
LEA78089,2020-01-25,18,ACC55427,LSR00005,LST00001,USE40632,CUS78063
LEA20789,2022-12-12,66,ACC22273,LSR00002,LST00002,USE30167,CUS31664
LEA01374,2021-10-23,28,ACC12506,LSR00004,LST00002,USE97715,CUS85049
LEA88351,2021-12-17,17,ACC64784,LSR00004,LST00003,USE02936,CUS90027
LEA96680,2020-07-30,96,ACC73380,LSR00006,LST00002,USE23457,CUS32525
LEA95583,2020-02-20,54,ACC32077,LSR00003,LST00003,USE14736,CUS96960
LEA07048,2020-04-11,48,ACC47835,LSR00001,LST00003,USE46703,CUS00516
LEA48876,2022-01-13,15,ACC86083,LSR00005,LST00003,USE02355,CUS03946
LEA43657,2021-05-03,50,ACC45788,LSR00003,LST00003,USE08695,CUS02506
LEA65233,2022-12-28,46,ACC73380,LSR00003,LST00002,USE23457,CUS32525
LEA15247,2022-04-13,72,ACC30633,LSR00006,LST00003,USE67246,CUS12235
LEA80586,2021-01-11,25,ACC94035,LSR00004,LST00001,USE23457,CUS28686
LEA92113,2020-12-07,73,ACC17352,LSR00005,LST00003,USE21508,CUS73760
LEA24198,2020-04-23,97,ACC01063,LSR00004,LST00002,USE02936,CUS36934
LEA35881,2022-02-17,65,ACC96912,LSR00005,LST00002,USE21141,CUS23847
LEA07870,2022-12-05,76,ACC49701,LSR00005,LST00003,USE70047,CUS85444
LEA91496,2021-12-05,33,ACC03250,LSR00001,LST00002,USE02936,CUS05622
LEA00719,2020-12-06,73,ACC25776,LSR00006,LST00003,USE08403,CUS50788
LEA02426,2020-08-28,79,ACC13106,LSR00005,LST00001,USE21141,CUS65660
LEA93679,2021-12-31,38,ACC79218,LSR00004,LST00003,USE70047,CUS51067
LEA23223,2020-12-12,76,ACC47476,LSR00005,LST00001,USE23457,CUS74158
LEA29498,2020-08-28,97,ACC57426,LSR00004,LST00001,USE02355,CUS60430
LEA91577,2021-09-03,10,ACC69519,LSR00001,LST00003,USE27298,CUS16996
LEA86390,2022-05-05,46,ACC73206,LSR00005,LST00001,USE86666,CUS86443
LEA54705,2020-01-20,73,ACC11797,LSR00002,LST00002,USE02936,CUS46773
LEA98211,2021-07-24,69,ACC26973,LSR00005,LST00003,USE86666,CUS65097
LEA68834,2021-11-04,61,ACC76019,LSR00006,LST00002,USE46703,CUS63344
LEA69121,2022-03-21,63,ACC16363,LSR00005,LST00001,USE51109,CUS94703
LEA70853,2021-12-23,75,ACC68679,LSR00005,LST00003,USE86666,CUS24022
LEA60732,2022-02-14,29,ACC01063,LSR00004,LST00002,USE02936,CUS36934
LEA27948,2022-10-06,11,ACC24456,LSR00003,LST00001,USE83708,CUS54914
LEA30874,2021-07-08,48,ACC54881,LSR00003,LST00002,USE69267,CUS27369
LEA33178,2022-10-16,50,ACC12257,LSR00004,LST00003,USE34324,CUS94944
LEA94179,2020-02-18,46,ACC76609,LSR00005,LST00001,USE86666,CUS27025
LEA87861,2020-07-15,88,ACC14580,LSR00006,LST00001,USE40632,CUS50668
LEA53077,2020-11-08,91,ACC69519,LSR00003,LST00001,USE27298,CUS16996
LEA31164,2022-08-08,41,ACC85106,LSR00001,LST00001,USE70047,CUS35757
LEA78812,2021-07-12,87,ACC35172,LSR00006,LST00002,USE01758,CUS59556
LEA75363,2021-03-22,57,ACC32090,LSR00001,LST00002,USE51109,CUS58647
LEA77797,2021-09-24,38,ACC99342,LSR00005,LST00003,USE35653,CUS87423
LEA12568,2021-09-29,11,ACC78225,LSR00004,LST00002,USE98230,CUS99364
LEA03850,2022-07-20,41,ACC75287,LSR00003,LST00002,USE90173,CUS88377
LEA57614,2020-10-26,98,ACC70493,LSR00003,LST00003,USE97715,CUS88584
LEA43595,2022-12-12,22,ACC66795,LSR00006,LST00002,USE70047,CUS81235
LEA69146,2022-04-01,22,ACC41695,LSR00005,LST00003,USE51109,CUS72030
LEA38643,2020-06-11,81,ACC88766,LSR00005,LST00003,USE02355,CUS46509
LEA45482,2022-06-09,90,ACC00640,LSR00004,LST00003,USE23457,CUS07833
LEA93399,2022-08-04,52,ACC35866,LSR00004,LST00003,USE98230,CUS60208
LEA25347,2021-02-19,81,ACC35329,LSR00004,LST00001,USE47430,CUS54745
LEA68095,2022-01-15,98,ACC23712,LSR00002,LST00002,USE34324,CUS17517
LEA26501,2022-10-06,26,ACC71150,LSR00003,LST00002,USE42547,CUS88575
LEA70987,2022-03-31,63,ACC50214,LSR00004,LST00003,USE17947,CUS77216
LEA99138,2022-02-05,88,ACC73206,LSR00002,LST00001,USE86666,CUS86443
LEA18497,2020-11-07,59,ACC78884,LSR00004,LST00003,USE02355,CUS53195
LEA15919,2021-04-12,63,ACC10953,LSR00005,LST00001,USE95961,CUS96768
LEA42463,2020-03-18,22,ACC82649,LSR00003,LST00003,USE21141,CUS68550
LEA81679,2021-05-30,22,ACC12501,LSR00005,LST00002,USE64167,CUS03149
LEA49678,2021-08-16,36,ACC52019,LSR00002,LST00001,USE21508,CUS64569
LEA02910,2021-09-29,78,ACC89667,LSR00003,LST00003,USE08403,CUS32170
LEA78861,2021-02-06,87,ACC64784,LSR00006,LST00003,USE02936,CUS90027
LEA27637,2020-02-08,29,ACC31815,LSR00006,LST00002,USE88869,CUS05913
LEA37736,2020-02-16,95,ACC35180,LSR00005,LST00003,USE08695,CUS23247
LEA83102,2021-11-20,76,ACC84642,LSR00005,LST00001,USE98230,CUS87972
LEA52101,2022-01-23,70,ACC09224,LSR00004,LST00002,USE67246,CUS53700
