quote_id,expiration_date,discount,total_amount,created_date,revision_number,opportunity_id,quote_status_id
QUO96304,,17,90047,2020-08-04,2,OPP11293,QST00002
QUO88891,2022-08-09,25,163998,2022-07-09,1,OPP55934,QST00002
QUO31197,2020-08-03,7,54397,2020-07-03,2,OPP73545,QST00001
QUO68094,2021-01-21,14,80379,2020-12-21,2,OPP17966,QST00001
QUO00013,2021-09-08,17,218002,2021-08-08,3,OPP88612,QST00003
QUO25789,,17,109767,2022-06-14,3,OPP95171,QST00002
QUO53444,2021-12-06,4,81264,2021-11-06,1,OPP79299,QST00003
QUO35258,,24,68778,2022-09-26,1,OPP61662,QST00002
QUO48009,,8,224616,2021-08-05,2,OPP37447,QST00003
QUO48105,2020-10-24,1,105844,2020-09-24,3,OPP75858,QST00003
QUO77891,2020-11-21,16,78350,2020-10-21,1,OPP92580,QST00002
QUO14071,2022-09-30,25,85595,2022-08-31,2,OPP42813,QST00001
QUO82096,2022-05-30,1,64854,2022-04-30,1,OPP03160,QST00003
QUO67913,,17,73639,2020-06-24,2,OPP94076,QST00003
QUO17526,2020-10-07,17,91078,2020-09-07,2,OPP72985,QST00003
QUO19226,2021-05-14,11,116574,2021-04-14,1,OPP11162,QST00001
QUO04613,,15,224308,2021-08-14,3,OPP88464,QST00001
QUO07569,2022-11-24,7,178845,2022-10-24,2,OPP45584,QST00003
QUO09108,,8,54030,2021-08-12,2,OPP93473,QST00002
QUO79425,,3,266725,2022-04-05,1,OPP14653,QST00002
QUO17542,2022-11-13,21,82980,2022-10-13,2,OPP10274,QST00002
QUO09841,2021-05-07,7,52762,2021-04-07,1,OPP02577,QST00003
QUO37607,2021-09-29,19,300756,2021-08-29,2,OPP09515,QST00003
QUO24598,2021-12-07,18,135896,2021-11-07,1,OPP70181,QST00002
QUO68073,2021-02-28,5,97188,2021-01-28,2,OPP56105,QST00002
QUO20777,,7,310070,2022-09-09,2,OPP95486,QST00003
QUO17987,2021-08-03,2,151588,2021-07-03,3,OPP51515,QST00003
QUO66353,2020-05-01,6,124924,2020-04-01,2,OPP05132,QST00001
QUO59272,,22,188930,2020-03-22,1,OPP40432,QST00001
QUO42496,2021-10-01,6,124696,2021-09-01,3,OPP91824,QST00003
QUO41709,2021-11-29,23,314958,2021-10-29,2,OPP08683,QST00001
QUO34905,2022-07-02,12,83418,2022-06-02,1,OPP19669,QST00001
QUO39602,,14,65620,2022-02-12,1,OPP61982,QST00003
QUO77362,2022-03-10,8,152870,2022-02-10,2,OPP29773,QST00001
QUO78468,2021-04-09,7,145800,2021-03-09,2,OPP76039,QST00003
QUO04915,,5,47652,2022-07-01,2,OPP85979,QST00003
QUO78953,,1,114261,2022-06-17,1,OPP98191,QST00001
QUO32045,,20,160634,2020-10-19,3,OPP72164,QST00002
QUO46931,,9,101088,2020-02-10,3,OPP17992,QST00002
QUO14412,2020-06-15,22,64592,2020-05-15,3,OPP44899,QST00003
QUO05095,,11,161659,2022-01-14,2,OPP44215,QST00002
QUO05139,,4,213608,2021-03-05,1,OPP77115,QST00002
QUO74394,,25,153408,2021-06-21,3,OPP97589,QST00001
QUO53266,2020-11-21,16,254996,2020-10-21,2,OPP92580,QST00003
QUO62929,2022-05-01,22,156262,2022-04-01,1,OPP37964,QST00001
QUO60637,2021-03-28,13,264844,2021-02-28,2,OPP29842,QST00002
QUO14330,,2,152834,2021-05-22,1,OPP98360,QST00001
QUO26384,,6,131993,2021-02-28,3,OPP34379,QST00003
QUO75181,2020-04-16,3,142521,2020-03-16,2,OPP33921,QST00001
QUO83188,,23,104650,2021-06-14,3,OPP46168,QST00002
QUO71718,,5,28751,2020-05-02,3,OPP59073,QST00001
QUO81028,,21,226910,2022-08-26,1,OPP17424,QST00001
QUO10409,2022-08-29,2,169608,2022-07-29,2,OPP03731,QST00003
QUO59093,2021-05-07,1,138755,2021-04-07,1,OPP70562,QST00003
QUO45523,2021-09-29,18,293342,2021-08-29,1,OPP09515,QST00001
QUO39274,2020-11-27,14,153629,2020-10-27,3,OPP41229,QST00001
QUO15541,2020-04-18,2,241032,2020-03-18,1,OPP73977,QST00001
QUO16423,,6,193820,2022-09-09,1,OPP07966,QST00002
QUO56857,,24,200464,2023-01-16,2,OPP51805,QST00003
QUO04445,,17,200288,2020-03-22,2,OPP40432,QST00002
QUO87029,,1,84434,2021-08-27,3,OPP36247,QST00003
QUO35442,2022-12-06,19,225361,2022-11-06,3,OPP74326,QST00002
QUO61021,2020-11-29,3,143821,2020-10-29,1,OPP95121,QST00003
QUO10222,2020-03-02,19,100416,2020-02-02,1,OPP37355,QST00002
QUO97966,,21,76038,2022-09-08,3,OPP05425,QST00001
QUO89841,2022-04-08,5,61544,2022-03-08,2,OPP88156,QST00001
QUO49628,,25,115356,2022-02-15,1,OPP17166,QST00003
QUO38706,2021-12-03,20,87335,2021-11-03,1,OPP71052,QST00003
QUO72818,2022-01-04,22,109920,2021-12-04,3,OPP22631,QST00001
QUO14671,2020-04-09,2,200620,2020-03-09,2,OPP58736,QST00002
QUO89487,,5,178960,2021-05-18,2,OPP27480,QST00003
QUO49134,,7,100700,2021-12-08,1,OPP73997,QST00002
QUO63931,,14,182763,2022-03-19,1,OPP84897,QST00002
QUO66570,2021-06-12,1,182077,2021-05-12,3,OPP18318,QST00003
QUO30380,,15,97703,2021-06-14,2,OPP58724,QST00003
QUO19273,,13,220681,2020-08-23,2,OPP73239,QST00001
QUO22836,2021-08-19,4,174165,2021-07-19,2,OPP76123,QST00001
QUO53813,,14,221672,2020-06-24,1,OPP94076,QST00003
QUO45901,,12,185487,2022-04-05,1,OPP14653,QST00003
QUO85886,2021-12-15,13,116463,2021-11-15,2,OPP84923,QST00003
QUO35175,2023-01-12,11,120438,2022-12-12,1,OPP50526,QST00002
QUO53455,,12,80862,2022-03-14,2,OPP52270,QST00003
QUO95643,,24,135822,2022-02-10,1,OPP26371,QST00002
QUO99579,,4,78626,2020-12-25,3,OPP45679,QST00001
QUO85097,2022-01-04,20,55060,2021-12-04,1,OPP22631,QST00003
QUO57073,,17,53962,2020-09-28,2,OPP13324,QST00001
QUO99558,,12,44186,2020-12-23,1,OPP12919,QST00001
QUO89211,2020-04-08,7,96610,2020-03-08,2,OPP67300,QST00002
QUO50712,,19,92393,2022-01-09,3,OPP63877,QST00002
QUO24453,,6,106354,2022-08-02,1,OPP03839,QST00003
QUO86512,,20,212034,2021-02-09,2,OPP65855,QST00003
QUO42988,,18,239565,2022-10-14,2,OPP90298,QST00001
QUO28250,,7,105452,2021-05-30,1,OPP35506,QST00001
QUO23173,2021-09-29,5,157100,2021-08-29,3,OPP09515,QST00002
QUO83059,2021-09-26,23,25788,2021-08-26,3,OPP90628,QST00003
QUO32629,,13,191888,2022-12-20,1,OPP71452,QST00002
QUO31670,,4,170192,2022-06-15,3,OPP86999,QST00003
QUO52042,2021-10-26,15,118163,2021-09-26,2,OPP18486,QST00003
QUO54917,,24,176074,2022-01-10,2,OPP33331,QST00003
QUO98331,,12,300124,2020-12-23,3,OPP12919,QST00002
QUO09568,2023-02-05,17,57771,2023-01-05,2,OPP34757,QST00003
QUO75939,2022-05-19,9,98478,2022-04-19,3,OPP70987,QST00003
QUO60036,,4,154354,2020-05-02,2,OPP59073,QST00003
QUO44189,2022-04-19,21,142050,2022-03-19,2,OPP74333,QST00001
QUO98799,2021-11-29,25,163061,2021-10-29,3,OPP08683,QST00003
QUO38196,,20,187667,2022-02-18,1,OPP65696,QST00001
QUO24552,,6,178536,2022-09-23,1,OPP90386,QST00003
QUO54059,2022-08-29,12,214196,2022-07-29,3,OPP03731,QST00002
QUO89419,2021-12-06,6,116940,2021-11-06,1,OPP79299,QST00003
QUO57315,2020-10-08,16,143660,2020-09-08,1,OPP22840,QST00001
QUO76762,2021-06-12,1,233303,2021-05-12,2,OPP18318,QST00001
QUO78625,2023-02-11,7,134337,2023-01-11,3,OPP08443,QST00003
QUO26225,2022-05-30,9,44612,2022-04-30,3,OPP85760,QST00003
QUO19951,,19,107291,2022-08-02,2,OPP03839,QST00003
QUO05552,,25,259980,2020-08-03,2,OPP95445,QST00003
QUO93462,,17,115686,2020-08-23,2,OPP73239,QST00003
QUO66124,,3,129837,2022-10-11,3,OPP20306,QST00003
QUO43947,2021-07-04,23,134025,2021-06-04,2,OPP32854,QST00002
QUO72540,,18,126945,2021-02-14,1,OPP20215,QST00003
QUO78432,2020-05-14,18,218914,2020-04-14,3,OPP70594,QST00001
QUO50606,,17,242286,2021-08-12,1,OPP93473,QST00003
QUO61683,2022-04-25,5,103832,2022-03-25,2,OPP59927,QST00002
QUO65049,2021-12-15,8,191433,2021-11-15,1,OPP65180,QST00003
QUO70337,,17,130194,2022-06-17,1,OPP98191,QST00002
QUO05175,2022-04-14,10,157402,2022-03-14,1,OPP23767,QST00003
QUO12473,,3,67414,2022-02-11,2,OPP66479,QST00003
QUO72035,2020-07-11,21,232116,2020-06-11,2,OPP74845,QST00003
QUO52246,2023-02-28,13,142908,2023-01-29,2,OPP75648,QST00002
QUO31877,,15,181008,2020-07-16,2,OPP71687,QST00003
QUO93697,2021-05-14,4,33711,2021-04-14,2,OPP52923,QST00002
QUO03673,2021-11-01,4,226035,2021-10-01,3,OPP25013,QST00003
QUO42930,,24,158926,2022-12-20,3,OPP54142,QST00002
QUO86984,,24,154703,2022-10-09,3,OPP09237,QST00002
QUO88817,2020-06-23,19,203723,2020-05-23,3,OPP65013,QST00003
QUO99283,,23,219598,2022-02-13,1,OPP24391,QST00001
QUO70709,,12,164931,2021-08-16,1,OPP89363,QST00002
QUO18957,2022-07-05,25,78504,2022-06-05,1,OPP46038,QST00003
QUO66293,,8,67161,2021-12-20,1,OPP42663,QST00003
QUO49408,2021-09-29,7,55584,2021-08-29,1,OPP09515,QST00002
QUO77792,2022-05-10,24,165734,2022-04-10,3,OPP47900,QST00003
QUO05719,,18,282780,2022-02-11,2,OPP66479,QST00003
QUO09770,2022-08-13,19,242352,2022-07-13,2,OPP78599,QST00003
QUO10430,,5,218250,2021-02-05,2,OPP12619,QST00003
QUO74101,2021-12-02,15,25460,2021-11-02,3,OPP54972,QST00002
QUO56208,,8,153322,2020-03-13,3,OPP28835,QST00001
QUO15384,2020-03-01,19,171273,2020-02-01,1,OPP85528,QST00002
QUO83643,,25,310576,2021-11-05,1,OPP47078,QST00003
QUO34524,2022-03-10,15,152724,2022-02-10,3,OPP29773,QST00001
QUO16533,2020-08-07,22,59262,2020-07-07,2,OPP67601,QST00003
QUO86269,,13,183010,2021-02-11,2,OPP83188,QST00002
QUO03494,,24,194636,2021-12-20,3,OPP93303,QST00003
QUO00709,2020-12-26,23,117588,2020-11-26,3,OPP67171,QST00003
QUO85109,,21,110484,2022-06-14,3,OPP95171,QST00003
QUO59308,,18,195800,2021-10-29,3,OPP73531,QST00003
QUO37196,2020-12-17,12,121935,2020-11-17,3,OPP23482,QST00003
QUO65068,2021-03-06,22,178439,2021-02-06,2,OPP06811,QST00002
QUO56909,,22,77028,2022-07-15,1,OPP44347,QST00003
QUO84026,2020-03-19,10,151018,2020-02-19,2,OPP85080,QST00003
QUO81817,,8,68127,2020-02-04,3,OPP94065,QST00003
QUO29021,2020-12-15,4,135888,2020-11-15,1,OPP62484,QST00001
QUO39331,2023-02-12,8,101244,2023-01-12,3,OPP78604,QST00003
QUO73967,,13,37037,2020-06-24,1,OPP90165,QST00003
QUO38649,,13,88677,2020-02-16,3,OPP28134,QST00003
QUO93994,2021-01-23,5,113894,2020-12-23,3,OPP28164,QST00001
QUO36922,2022-01-03,22,59806,2021-12-03,3,OPP41818,QST00001
QUO93475,,16,180842,2020-08-06,2,OPP53050,QST00001
QUO59350,,1,74520,2021-12-19,2,OPP68476,QST00003
QUO43752,,8,41993,2022-02-28,3,OPP00202,QST00002
QUO36727,2022-08-09,12,29280,2022-07-09,2,OPP55934,QST00003
QUO12708,,14,91110,2021-11-30,3,OPP29414,QST00003
QUO92263,2020-10-30,7,69300,2020-09-30,2,OPP07407,QST00003
QUO00756,,20,45456,2021-12-20,3,OPP93303,QST00003
QUO08346,2020-08-07,14,138624,2020-07-07,1,OPP67601,QST00001
QUO68974,,7,52703,2021-03-27,2,OPP39591,QST00003
QUO89997,,1,58896,2020-07-11,2,OPP18139,QST00001
QUO45341,,16,175028,2020-02-25,1,OPP18099,QST00002
QUO83446,2021-09-01,16,153612,2021-08-01,2,OPP39727,QST00001
QUO29165,2023-01-23,3,69312,2022-12-23,1,OPP23039,QST00002
QUO80940,2022-05-01,12,35658,2022-04-01,2,OPP37964,QST00003
QUO25986,,23,115356,2022-02-12,3,OPP61982,QST00002
QUO37222,,15,184620,2021-11-12,1,OPP94608,QST00003
QUO72361,2023-02-05,22,36400,2023-01-05,1,OPP34757,QST00003
QUO76096,2020-06-16,24,186540,2020-05-16,2,OPP11804,QST00003
QUO39612,2021-03-06,3,192260,2021-02-06,1,OPP06811,QST00003
QUO54708,2020-04-15,12,120000,2020-03-15,2,OPP78882,QST00002
QUO82550,,2,65620,2021-07-12,2,OPP35409,QST00003
QUO44785,,21,99541,2020-02-04,1,OPP87995,QST00001
QUO12990,2022-04-24,1,104698,2022-03-24,1,OPP53324,QST00003
QUO48645,2022-02-28,11,71420,2022-01-31,3,OPP52925,QST00002
QUO17056,2021-07-29,21,90450,2021-06-29,1,OPP13035,QST00002
QUO85841,2020-11-27,20,63440,2020-10-27,3,OPP41229,QST00002
QUO75562,,8,124969,2022-09-25,2,OPP95810,QST00002
QUO37429,,16,72800,2020-12-25,3,OPP45679,QST00003
QUO09784,2022-03-28,17,118212,2022-02-28,3,OPP68194,QST00003
QUO46896,2022-11-13,12,8917,2022-10-13,3,OPP10274,QST00001
QUO32642,,12,38350,2021-08-14,2,OPP88464,QST00001
QUO78617,2021-12-07,16,17325,2021-11-07,2,OPP70181,QST00003
QUO84045,,5,82308,2020-04-09,3,OPP93457,QST00002
QUO01736,,10,163047,2020-02-03,1,OPP46060,QST00002
QUO30451,2023-01-05,3,27945,2022-12-05,2,OPP08770,QST00003
QUO35957,2022-05-01,25,41993,2022-04-01,1,OPP37964,QST00001
QUO79581,2022-09-20,21,104346,2022-08-20,1,OPP41241,QST00003
QUO72050,2020-11-27,3,9851,2020-10-27,2,OPP41229,QST00001
QUO06380,,21,166158,2021-09-28,1,OPP37948,QST00002
QUO15096,2020-04-08,22,55746,2020-03-08,1,OPP67300,QST00001
QUO14116,2021-11-19,20,97368,2021-10-19,2,OPP41151,QST00002
QUO46213,2022-07-02,9,31662,2022-06-02,3,OPP19669,QST00003
QUO00115,,3,171324,2021-11-12,1,OPP94608,QST00002
QUO99724,,3,60788,2022-02-13,1,OPP24391,QST00001
QUO98697,,21,39384,2022-09-04,2,OPP23268,QST00001
QUO09960,2020-07-22,19,49080,2020-06-22,1,OPP00162,QST00001
QUO62586,,10,28568,2022-12-05,1,OPP40182,QST00002
QUO54112,,10,167886,2020-04-30,3,OPP36674,QST00003
QUO46554,2022-04-14,9,47955,2022-03-14,1,OPP23767,QST00003
QUO79261,2020-08-07,15,133331,2020-07-07,3,OPP67601,QST00001
QUO53302,2021-12-24,1,55272,2021-11-24,1,OPP35239,QST00003
QUO94986,,23,54600,2020-08-09,1,OPP23451,QST00003
QUO51868,,6,39264,2020-08-06,3,OPP53050,QST00001
QUO68303,2023-02-02,25,118116,2023-01-02,3,OPP04864,QST00002
QUO03075,2021-10-17,10,55170,2021-09-17,1,OPP41267,QST00003
QUO18511,,25,8664,2022-05-09,3,OPP39653,QST00001
QUO98567,2020-10-30,19,53502,2020-09-30,2,OPP07407,QST00003
QUO37208,,21,105184,2021-02-11,2,OPP83188,QST00002
QUO05309,,22,46060,2021-12-02,3,OPP35595,QST00003
QUO36557,,7,113976,2022-09-23,3,OPP57711,QST00003
QUO85264,2023-02-10,20,41912,2023-01-10,2,OPP17799,QST00003
QUO23943,2022-12-06,12,115500,2022-11-06,1,OPP74326,QST00002
QUO83068,2023-01-05,25,23553,2022-12-05,2,OPP08770,QST00003
QUO87914,2020-05-09,10,66842,2020-04-09,2,OPP82556,QST00003
QUO09090,,6,97108,2021-10-29,1,OPP73531,QST00001
QUO85440,,6,4923,2022-06-15,1,OPP65722,QST00001
QUO44246,2022-09-22,14,31416,2022-08-22,2,OPP72183,QST00003
QUO67060,,9,53565,2022-11-22,3,OPP48707,QST00002
QUO27858,,5,39215,2022-07-01,1,OPP85979,QST00002
QUO52103,,20,42670,2022-01-14,2,OPP44215,QST00001
QUO23108,2021-05-12,18,120000,2021-04-12,2,OPP43492,QST00003
QUO05641,2021-11-29,9,19692,2021-10-29,3,OPP08683,QST00003
QUO74577,2020-10-08,11,23562,2020-09-08,2,OPP22840,QST00001
QUO96250,,25,7851,2020-11-05,3,OPP36689,QST00002
QUO40501,,3,37608,2020-03-22,3,OPP40432,QST00003
QUO63986,,14,84420,2020-04-19,1,OPP00817,QST00001
QUO87690,2020-05-30,4,106539,2020-04-30,2,OPP56332,QST00001
QUO46832,,23,12060,2022-03-19,2,OPP84897,QST00001
QUO54466,,3,88659,2022-12-24,3,OPP97109,QST00001
QUO48745,,15,36673,2020-04-28,3,OPP41043,QST00003
QUO07894,2021-02-11,2,42910,2021-01-11,1,OPP15110,QST00002
QUO95015,2020-08-07,12,86640,2020-07-07,2,OPP67601,QST00003
QUO07044,2021-05-12,11,18424,2021-04-12,3,OPP43492,QST00003
QUO80387,,13,75075,2020-02-03,2,OPP22489,QST00002
QUO51426,2022-04-19,22,19692,2022-03-19,3,OPP74333,QST00002
QUO51787,,1,24997,2020-08-23,1,OPP73239,QST00002
QUO54851,,11,58526,2022-01-09,3,OPP63877,QST00003
QUO76741,,8,176560,2022-10-09,1,OPP09237,QST00003
QUO96712,2020-10-07,12,147696,2020-09-07,3,OPP72985,QST00002
QUO51257,,17,17997,2020-02-22,1,OPP21761,QST00002
QUO33987,,15,6562,2020-07-12,3,OPP54263,QST00003
QUO35519,2022-03-08,5,128968,2022-02-08,2,OPP04200,QST00003
QUO64020,2020-10-08,10,147696,2020-09-08,2,OPP22840,QST00003
QUO95319,2021-08-16,22,121576,2021-07-16,3,OPP42715,QST00001
QUO67899,2022-10-21,24,44324,2022-09-21,1,OPP26923,QST00002
QUO83725,2022-09-20,2,36673,2022-08-20,2,OPP41241,QST00003
QUO15515,2022-07-02,9,147288,2022-06-02,2,OPP19669,QST00003
QUO23630,2021-12-24,3,36780,2021-11-24,3,OPP35239,QST00001
