line_item_id,quote_id,product_id,quantity,unit_price,total_price,warranty_id
LIN61951,QUO61943,PRO01485,12,8534,102408,WAR00002
LIN44797,QUO86093,PRO19301,8,5943,47544,WAR00002
LIN02840,QUO24253,PRO30045,19,3060,58140,WAR00002
LIN28034,QUO48682,PRO67495,7,9591,67137,WAR00003
LIN30304,QUO24334,PRO93334,20,6267,125340,WAR00001
LIN01662,QUO60220,PRO12639,14,8917,124838,WAR00003
LIN45059,QUO80090,PRO40808,19,6574,124906,WAR00002
LIN31445,QUO47560,PRO14992,1,5682,5682,WAR00001
LIN26340,QUO33042,PRO10732,4,9315,37260,WAR00003
LIN63522,QUO53874,PRO26667,19,3888,73872,WAR00002
LIN27281,QUO71481,PRO09500,13,6194,80522,WAR00002
LIN48166,QUO45880,PRO98085,8,9212,73696,WAR00002
LIN89184,QUO84316,PRO65552,17,5999,101983,WAR00002
LIN06091,QUO54735,PRO12639,8,8917,71336,WAR00002
LIN94219,QUO85063,PRO61136,20,5239,104780,WAR00001
LIN26489,QUO80975,PRO46773,3,9613,28839,WAR00002
LIN57834,QUO83441,PRO92316,5,8114,40570,WAR00003
LIN00473,QUO23594,PRO93334,16,6267,100272,WAR00003
LIN21272,QUO06699,PRO86898,6,9816,58896,WAR00002
LIN97519,QUO89682,PRO99910,14,7851,109914,WAR00003
LIN29212,QUO07876,PRO61136,17,5239,89063,WAR00001
LIN77917,QUO00872,PRO12639,2,8917,17834,WAR00002
LIN35870,QUO95290,PRO12639,7,8917,62419,WAR00003
LIN02567,QUO58473,PRO09500,15,6194,92910,WAR00002
LIN46348,QUO90443,PRO61136,5,5239,26195,WAR00001
LIN26292,QUO41215,PRO41627,16,6332,101312,WAR00003
LIN72997,QUO34390,PRO71161,8,4550,36400,WAR00003
LIN87213,QUO47415,PRO04233,2,5775,11550,WAR00002
LIN22187,QUO61769,PRO86898,15,9816,147240,WAR00002
LIN72256,QUO48309,PRO41627,4,6332,25328,WAR00002
LIN88875,QUO06507,PRO13996,11,9851,108361,WAR00001
LIN78535,QUO68861,PRO04233,15,5775,86625,WAR00001
LIN69785,QUO93208,PRO92316,15,8114,121710,WAR00002
LIN03891,QUO22161,PRO14701,16,6030,96480,WAR00003
LIN58732,QUO92368,PRO81999,1,3518,3518,WAR00002
LIN64478,QUO09188,PRO21215,17,4332,73644,WAR00003
LIN99694,QUO65534,PRO14701,10,6030,60300,WAR00002
LIN30266,QUO97414,PRO61136,19,5239,99541,WAR00002
LIN14639,QUO37517,PRO83380,8,6138,49104,WAR00003
LIN61692,QUO58594,PRO67890,11,4880,53680,WAR00002
LIN86140,QUO29813,PRO95982,3,8584,25752,WAR00002
LIN72930,QUO96448,PRO86754,16,9327,149232,WAR00001
LIN76137,QUO64833,PRO09500,7,6194,43358,WAR00003
LIN84099,QUO83854,PRO86754,5,9327,46635,WAR00001
LIN79328,QUO39792,PRO44499,4,9613,38452,WAR00002
LIN44298,QUO95608,PRO93334,8,6267,50136,WAR00002
LIN87035,QUO61688,PRO77206,10,7670,76700,WAR00003
LIN03883,QUO79339,PRO30045,11,3060,33660,WAR00001
LIN10154,QUO39267,PRO30045,6,3060,18360,WAR00001
LIN22808,QUO21812,PRO71161,11,4550,50050,WAR00002
LIN77274,QUO73792,PRO95982,9,8584,77256,WAR00003
LIN91558,QUO65805,PRO51045,10,8664,86640,WAR00001
LIN61948,QUO61998,PRO09500,7,6194,43358,WAR00002
LIN27755,QUO61508,PRO14701,19,6030,114570,WAR00002
LIN65879,QUO94090,PRO41627,16,6332,101312,WAR00002
LIN82011,QUO81828,PRO56174,7,9231,64617,WAR00002
LIN81664,QUO00814,PRO74373,18,7854,141372,WAR00001
LIN98992,QUO65076,PRO77206,2,7670,15340,WAR00001
LIN33998,QUO66439,PRO41240,7,9402,65814,WAR00001
LIN10791,QUO63305,PRO12639,7,8917,62419,WAR00002
LIN78635,QUO55504,PRO98085,1,9212,9212,WAR00003
LIN39049,QUO11888,PRO44499,14,9613,134582,WAR00002
LIN67246,QUO03999,PRO19301,19,5943,112917,WAR00001
LIN09370,QUO43053,PRO63981,1,6130,6130,WAR00002
LIN50596,QUO35296,PRO01485,20,8534,170680,WAR00002
LIN13640,QUO17527,PRO63981,1,6130,6130,WAR00002
LIN15076,QUO87959,PRO57903,19,6074,115406,WAR00001
LIN93420,QUO42881,PRO81999,19,3518,66842,WAR00002
LIN60055,QUO91116,PRO40808,19,6574,124906,WAR00001
LIN01653,QUO81725,PRO51725,9,8828,79452,WAR00001
LIN87972,QUO16181,PRO64497,2,7892,15784,WAR00001
LIN26524,QUO58597,PRO44499,9,9613,86517,WAR00003
LIN81069,QUO46585,PRO19301,12,5943,71316,WAR00001
LIN38970,QUO04863,PRO51045,20,8664,173280,WAR00002
LIN31539,QUO96304,PRO65552,13,5999,77987,WAR00003
LIN39774,QUO88891,PRO57903,7,6074,42518,WAR00003
LIN31308,QUO31197,PRO41627,1,6332,6332,WAR00003
LIN72432,QUO68094,PRO71161,5,4550,22750,WAR00001
LIN86823,QUO00013,PRO64497,13,7892,102596,WAR00001
LIN91215,QUO25789,PRO81999,6,3518,21108,WAR00002
LIN06881,QUO53444,PRO21215,6,4332,25992,WAR00003
LIN05547,QUO35258,PRO64122,3,4502,13506,WAR00002
LIN37435,QUO48009,PRO40808,19,6574,124906,WAR00003
LIN49194,QUO48105,PRO14992,14,5682,79548,WAR00002
LIN60215,QUO77891,PRO65552,10,5999,59990,WAR00001
LIN62080,QUO14071,PRO39806,9,7529,67761,WAR00001
LIN94131,QUO82096,PRO14992,5,5682,28410,WAR00003
LIN95019,QUO67913,PRO07576,13,3571,46423,WAR00001
LIN27531,QUO17526,PRO41627,11,6332,69652,WAR00003
LIN60811,QUO19226,PRO83380,3,6138,18414,WAR00002
LIN14795,QUO04613,PRO14992,11,5682,62502,WAR00001
LIN63951,QUO09108,PRO57903,3,6074,18222,WAR00003
LIN30870,QUO79425,PRO46773,16,9613,153808,WAR00003
LIN48171,QUO17542,PRO14992,2,5682,11364,WAR00001
LIN63678,QUO09841,PRO04233,8,5775,46200,WAR00001
LIN20353,QUO37607,PRO86754,20,9327,186540,WAR00001
LIN27726,QUO24598,PRO64497,13,7892,102596,WAR00003
LIN66225,QUO68073,PRO64828,7,8684,60788,WAR00001
LIN93119,QUO20777,PRO74373,15,7854,117810,WAR00003
LIN12657,QUO66353,PRO57903,19,6074,115406,WAR00003
LIN52180,QUO59272,PRO92316,16,8114,129824,WAR00001
LIN94348,QUO42496,PRO21215,8,4332,34656,WAR00002
LIN69313,QUO41709,PRO51045,17,8664,147288,WAR00001
LIN66955,QUO34905,PRO61136,6,5239,31434,WAR00003
LIN05003,QUO39602,PRO97881,3,6562,19686,WAR00002
LIN24783,QUO77362,PRO14701,5,6030,30150,WAR00001
LIN60393,QUO78468,PRO79367,15,7500,112500,WAR00002
LIN58034,QUO04915,PRO21215,3,4332,12996,WAR00001
LIN60373,QUO78953,PRO13996,9,9851,88659,WAR00003
LIN76105,QUO32045,PRO83380,17,6138,104346,WAR00001
LIN19951,QUO46931,PRO26667,15,3888,58320,WAR00001
LIN73643,QUO14412,PRO67890,6,4880,29280,WAR00002
LIN68537,QUO05095,PRO46773,16,9613,153808,WAR00002
LIN80837,QUO05139,PRO14701,12,6030,72360,WAR00001
LIN77485,QUO74394,PRO40808,12,6574,78888,WAR00001
LIN79418,QUO53266,PRO75076,11,8325,91575,WAR00001
LIN96375,QUO62929,PRO74373,15,7854,117810,WAR00002
LIN18181,QUO60637,PRO12639,12,8917,107004,WAR00001
LIN02004,QUO14330,PRO77206,3,7670,23010,WAR00003
LIN77746,QUO26384,PRO79367,12,7500,90000,WAR00002
LIN00898,QUO75181,PRO19301,5,5943,29715,WAR00003
LIN32388,QUO83188,PRO71161,8,4550,36400,WAR00001
LIN11481,QUO71718,PRO56174,1,9231,9231,WAR00001
LIN23917,QUO81028,PRO98085,20,9212,184240,WAR00002
LIN36898,QUO59093,PRO98085,10,9212,92120,WAR00003
LIN67281,QUO45523,PRO41627,19,6332,120308,WAR00002
LIN90332,QUO39274,PRO19301,15,5943,89145,WAR00001
LIN55704,QUO15541,PRO41240,6,9402,56412,WAR00003
LIN32396,QUO16423,PRO95982,14,8584,120176,WAR00001
LIN94198,QUO56857,PRO26667,12,3888,46656,WAR00001
LIN10711,QUO04445,PRO57903,20,6074,121480,WAR00002
LIN05922,QUO87029,PRO92316,7,8114,56798,WAR00002
LIN34251,QUO35442,PRO51725,19,8828,167732,WAR00001
LIN91575,QUO61021,PRO12639,11,8917,98087,WAR00002
LIN33747,QUO10222,PRO63981,12,6130,73560,WAR00003
LIN08126,QUO97966,PRO74373,1,7854,7854,WAR00002
LIN04883,QUO89841,PRO77206,7,7670,53690,WAR00002
LIN96929,QUO49628,PRO44499,9,9613,86517,WAR00003
LIN24007,QUO38706,PRO19301,7,5943,41601,WAR00003
LIN17287,QUO72818,PRO75076,8,8325,66600,WAR00001
LIN82407,QUO14671,PRO51725,17,8828,150076,WAR00001
LIN44290,QUO89487,PRO65552,9,5999,53991,WAR00002
LIN48182,QUO49134,PRO40808,14,6574,92036,WAR00003
LIN70859,QUO63931,PRO12639,9,8917,80253,WAR00002
LIN75502,QUO66570,PRO44499,13,9613,124969,WAR00002
LIN84431,QUO30380,PRO79367,6,7500,45000,WAR00002
LIN96172,QUO19273,PRO64497,17,7892,134164,WAR00001
LIN58449,QUO22836,PRO01485,15,8534,128010,WAR00001
LIN25503,QUO53813,PRO99910,14,7851,109914,WAR00003
LIN79935,QUO45901,PRO30045,17,3060,52020,WAR00002
LIN63443,QUO85886,PRO64828,13,8684,112892,WAR00001
LIN53878,QUO35175,PRO63981,17,6130,104210,WAR00002
LIN66454,QUO53455,PRO14992,11,5682,62502,WAR00002
LIN14273,QUO95643,PRO01485,6,8534,51204,WAR00003
LIN88992,QUO99579,PRO70558,6,7843,47058,WAR00001
LIN38205,QUO85097,PRO01485,2,8534,17068,WAR00002
LIN06434,QUO57073,PRO46773,2,9613,19226,WAR00003
LIN75414,QUO99558,PRO64122,3,4502,13506,WAR00003
LIN57240,QUO89211,PRO70558,6,7843,47058,WAR00002
LIN57662,QUO50712,PRO19301,1,5943,5943,WAR00002
LIN92703,QUO24453,PRO74373,9,7854,70686,WAR00002
LIN61749,QUO86512,PRO67495,14,9591,134274,WAR00002
LIN41831,QUO42988,PRO44499,17,9613,163421,WAR00001
LIN63852,QUO28250,PRO63981,8,6130,49040,WAR00001
LIN70799,QUO23173,PRO21215,15,4332,64980,WAR00001
LIN71966,QUO83059,PRO97881,1,6562,6562,WAR00002
LIN06959,QUO32629,PRO64497,12,7892,94704,WAR00001
LIN23630,QUO31670,PRO45787,16,9518,152288,WAR00002
LIN91167,QUO52042,PRO81999,7,3518,24626,WAR00003
LIN43067,QUO54917,PRO75076,13,8325,108225,WAR00002
LIN06257,QUO98331,PRO45787,14,9518,133252,WAR00003
LIN33765,QUO09568,PRO70558,6,7843,47058,WAR00002
LIN35327,QUO75939,PRO13996,6,9851,59106,WAR00002
LIN62039,QUO60036,PRO29563,18,4923,88614,WAR00003
LIN46196,QUO44189,PRO14992,5,5682,28410,WAR00002
LIN37836,QUO98799,PRO86754,17,9327,158559,WAR00001
LIN20702,QUO38196,PRO12639,20,8917,178340,WAR00003
LIN74919,QUO24552,PRO09500,12,6194,74328,WAR00001
LIN11429,QUO54059,PRO95982,14,8584,120176,WAR00002
LIN34324,QUO89419,PRO14992,4,5682,22728,WAR00002
LIN56782,QUO57315,PRO64828,10,8684,86840,WAR00003
LIN43120,QUO76762,PRO46773,19,9613,182647,WAR00001
LIN92651,QUO78625,PRO04233,14,5775,80850,WAR00001
LIN76954,QUO26225,PRO30045,12,3060,36720,WAR00003
LIN90041,QUO19951,PRO61136,10,5239,52390,WAR00003
LIN89596,QUO05552,PRO10732,18,9315,167670,WAR00003
LIN58889,QUO93462,PRO26667,10,3888,38880,WAR00002
LIN07305,QUO66124,PRO46773,9,9613,86517,WAR00002
LIN20378,QUO43947,PRO81999,6,3518,21108,WAR00001
LIN81865,QUO72540,PRO07576,13,3571,46423,WAR00003
LIN37487,QUO78432,PRO45787,12,9518,114216,WAR00003
LIN22558,QUO50606,PRO83380,19,6138,116622,WAR00001
LIN33686,QUO61683,PRO79367,13,7500,97500,WAR00001
LIN27841,QUO65049,PRO14701,12,6030,72360,WAR00001
LIN94990,QUO70337,PRO56174,4,9231,36924,WAR00001
LIN06350,QUO05175,PRO09500,17,6194,105298,WAR00002
LIN40975,QUO12473,PRO09500,5,6194,30970,WAR00001
LIN42977,QUO72035,PRO39806,18,7529,135522,WAR00002
LIN04560,QUO52246,PRO30045,5,3060,15300,WAR00003
LIN37998,QUO31877,PRO93334,14,6267,87738,WAR00003
LIN02803,QUO93697,PRO67495,1,9591,9591,WAR00003
LIN03082,QUO03673,PRO75076,13,8325,108225,WAR00001
LIN34323,QUO42930,PRO98085,8,9212,73696,WAR00002
LIN05628,QUO86984,PRO30045,16,3060,48960,WAR00003
LIN69451,QUO88817,PRO93334,17,6267,106539,WAR00002
LIN90121,QUO99283,PRO86898,18,9816,176688,WAR00002
LIN46766,QUO70709,PRO99910,13,7851,102063,WAR00002
LIN44544,QUO18957,PRO75076,6,8325,49950,WAR00001
LIN38997,QUO66293,PRO63981,2,6130,12260,WAR00002
LIN55180,QUO49408,PRO41240,2,9402,18804,WAR00003
LIN52942,QUO77792,PRO81999,13,3518,45734,WAR00003
LIN42067,QUO05719,PRO86898,10,9816,98160,WAR00001
LIN73890,QUO09770,PRO67890,18,4880,87840,WAR00003
LIN65170,QUO10430,PRO09500,15,6194,92910,WAR00001
LIN66845,QUO74101,PRO81999,2,3518,7036,WAR00002
LIN23261,QUO56208,PRO97881,11,6562,72182,WAR00001
LIN07884,QUO15384,PRO01485,17,8534,145078,WAR00003
LIN14333,QUO83643,PRO67495,18,9591,172638,WAR00001
LIN72441,QUO34524,PRO86898,14,9816,137424,WAR00001
LIN33443,QUO16533,PRO93334,6,6267,37602,WAR00001
LIN57300,QUO86269,PRO92316,15,8114,121710,WAR00003
LIN60547,QUO03494,PRO64828,20,8684,173680,WAR00003
LIN21673,QUO00709,PRO79367,3,7500,22500,WAR00003
LIN00113,QUO85109,PRO21215,11,4332,47652,WAR00002
LIN40079,QUO59308,PRO98085,9,9212,82908,WAR00001
LIN77410,QUO37196,PRO41627,6,6332,37992,WAR00002
LIN91169,QUO65068,PRO67495,9,9591,86319,WAR00003
LIN92617,QUO56909,PRO51725,3,8828,26484,WAR00002
LIN14158,QUO84026,PRO79367,14,7500,105000,WAR00002
LIN13270,QUO81817,PRO86898,6,9816,58896,WAR00002
LIN53520,QUO29021,PRO19301,8,5943,47544,WAR00001
LIN15969,QUO39331,PRO79367,3,7500,22500,WAR00001
LIN08801,QUO73967,PRO67495,2,9591,19182,WAR00003
LIN26956,QUO38649,PRO14701,3,6030,18090,WAR00002
LIN57400,QUO93994,PRO70558,2,7843,15686,WAR00001
LIN76970,QUO36922,PRO81999,17,3518,59806,WAR00002
LIN97746,QUO93475,PRO45787,19,9518,180842,WAR00001
LIN27956,QUO59350,PRO10732,8,9315,74520,WAR00003
LIN00952,QUO43752,PRO65552,7,5999,41993,WAR00001
LIN08152,QUO36727,PRO67890,6,4880,29280,WAR00001
LIN86036,QUO12708,PRO57903,15,6074,91110,WAR00002
LIN54594,QUO92263,PRO04233,12,5775,69300,WAR00001
LIN05391,QUO00756,PRO14992,8,5682,45456,WAR00002
LIN88514,QUO08346,PRO51045,16,8664,138624,WAR00003
LIN75072,QUO68974,PRO39806,7,7529,52703,WAR00001
LIN89836,QUO89997,PRO86898,6,9816,58896,WAR00002
LIN49886,QUO45341,PRO98085,19,9212,175028,WAR00003
LIN01356,QUO83446,PRO01485,18,8534,153612,WAR00003
LIN78017,QUO29165,PRO51045,8,8664,69312,WAR00002
LIN84630,QUO80940,PRO19301,6,5943,35658,WAR00001
LIN41151,QUO25986,PRO46773,12,9613,115356,WAR00002
LIN93273,QUO37222,PRO56174,20,9231,184620,WAR00002
LIN14821,QUO72361,PRO71161,8,4550,36400,WAR00002
LIN89165,QUO76096,PRO86754,20,9327,186540,WAR00001
LIN75563,QUO39612,PRO46773,20,9613,192260,WAR00001
LIN02897,QUO54708,PRO79367,16,7500,120000,WAR00001
LIN37139,QUO82550,PRO97881,10,6562,65620,WAR00001
LIN20423,QUO44785,PRO61136,19,5239,99541,WAR00002
LIN10491,QUO12990,PRO45787,11,9518,104698,WAR00003
LIN46215,QUO48645,PRO07576,20,3571,71420,WAR00003
LIN27803,QUO17056,PRO14701,15,6030,90450,WAR00002
LIN69826,QUO85841,PRO67890,13,4880,63440,WAR00002
LIN06254,QUO75562,PRO46773,13,9613,124969,WAR00002
LIN47457,QUO37429,PRO71161,16,4550,72800,WAR00002
LIN77658,QUO09784,PRO13996,12,9851,118212,WAR00003
LIN22881,QUO32831,PRO19301,1,5943,5943,WAR00001
LIN11668,QUO46896,PRO12639,1,8917,8917,WAR00003
LIN90168,QUO32642,PRO77206,5,7670,38350,WAR00001
LIN74798,QUO78617,PRO04233,3,5775,17325,WAR00001
LIN70362,QUO84045,PRO21215,19,4332,82308,WAR00003
LIN50551,QUO01736,PRO67495,17,9591,163047,WAR00002
LIN74539,QUO30451,PRO10732,3,9315,27945,WAR00001
LIN02893,QUO35957,PRO65552,7,5999,41993,WAR00003
LIN60524,QUO79581,PRO83380,17,6138,104346,WAR00002
LIN37244,QUO72050,PRO13996,1,9851,9851,WAR00002
LIN24417,QUO06380,PRO56174,18,9231,166158,WAR00001
LIN07645,QUO15096,PRO09500,9,6194,55746,WAR00002
LIN76299,QUO14116,PRO92316,12,8114,97368,WAR00002
LIN51135,QUO46213,PRO81999,9,3518,31662,WAR00001
LIN27773,QUO00115,PRO45787,18,9518,171324,WAR00003
LIN62202,QUO99724,PRO64828,7,8684,60788,WAR00003
LIN82109,QUO98697,PRO29563,8,4923,39384,WAR00001
LIN70493,QUO09960,PRO86898,5,9816,49080,WAR00003
LIN53198,QUO62586,PRO07576,8,3571,28568,WAR00003
LIN34826,QUO54112,PRO86754,18,9327,167886,WAR00003
LIN23406,QUO46554,PRO67495,5,9591,47955,WAR00003
LIN12589,QUO79261,PRO70558,17,7843,133331,WAR00001
LIN29136,QUO53302,PRO98085,6,9212,55272,WAR00002
LIN64803,QUO94986,PRO71161,12,4550,54600,WAR00003
LIN37787,QUO51868,PRO86898,4,9816,39264,WAR00002
LIN93337,QUO68303,PRO97881,18,6562,118116,WAR00003
LIN08031,QUO03075,PRO63981,9,6130,55170,WAR00001
LIN94270,QUO18511,PRO21215,2,4332,8664,WAR00001
LIN08500,QUO98567,PRO12639,6,8917,53502,WAR00002
LIN31642,QUO37208,PRO40808,16,6574,105184,WAR00003
LIN75088,QUO05309,PRO98085,5,9212,46060,WAR00002
LIN78526,QUO36557,PRO41627,18,6332,113976,WAR00001
LIN80913,QUO85264,PRO61136,8,5239,41912,WAR00003
LIN09581,QUO23943,PRO04233,20,5775,115500,WAR00001
LIN79694,QUO83068,PRO99910,3,7851,23553,WAR00002
LIN77938,QUO87914,PRO81999,19,3518,66842,WAR00001
LIN66641,QUO09090,PRO51725,11,8828,97108,WAR00003
LIN70348,QUO85440,PRO29563,1,4923,4923,WAR00002
LIN24247,QUO44246,PRO74373,4,7854,31416,WAR00003
LIN43428,QUO67060,PRO07576,15,3571,53565,WAR00002
LIN79546,QUO27858,PRO70558,5,7843,39215,WAR00003
LIN75794,QUO52103,PRO01485,5,8534,42670,WAR00001
LIN53747,QUO23108,PRO79367,16,7500,120000,WAR00001
LIN67770,QUO05641,PRO29563,4,4923,19692,WAR00003
LIN52038,QUO74577,PRO74373,3,7854,23562,WAR00002
LIN21644,QUO96250,PRO99910,1,7851,7851,WAR00001
LIN37760,QUO40501,PRO41240,4,9402,37608,WAR00002
LIN23293,QUO63986,PRO14701,14,6030,84420,WAR00003
LIN29374,QUO87690,PRO93334,17,6267,106539,WAR00002
LIN49302,QUO46832,PRO14701,2,6030,12060,WAR00001
LIN84428,QUO54466,PRO13996,9,9851,88659,WAR00003
LIN44594,QUO48745,PRO61136,7,5239,36673,WAR00001
LIN42731,QUO07894,PRO63981,7,6130,42910,WAR00001
LIN28107,QUO95015,PRO51045,10,8664,86640,WAR00003
LIN50962,QUO07044,PRO98085,2,9212,18424,WAR00003
LIN92181,QUO80387,PRO04233,13,5775,75075,WAR00002
LIN56987,QUO51426,PRO29563,4,4923,19692,WAR00003
LIN17734,QUO51787,PRO07576,7,3571,24997,WAR00001
LIN11299,QUO54851,PRO64122,13,4502,58526,WAR00001
LIN99423,QUO76741,PRO51725,20,8828,176560,WAR00001
LIN22073,QUO96712,PRO56174,16,9231,147696,WAR00002
LIN72314,QUO51257,PRO65552,3,5999,17997,WAR00003
LIN44477,QUO33987,PRO97881,1,6562,6562,WAR00001
LIN79942,QUO35519,PRO98085,14,9212,128968,WAR00003
LIN50431,QUO64020,PRO56174,16,9231,147696,WAR00002
LIN48810,QUO95319,PRO64828,14,8684,121576,WAR00003
LIN81941,QUO67899,PRO41627,7,6332,44324,WAR00003
LIN97350,QUO83725,PRO61136,7,5239,36673,WAR00001
LIN07113,QUO15515,PRO51045,17,8664,147288,WAR00002
LIN06420,QUO23630,PRO63981,6,6130,36780,WAR00002
LIN80032,QUO25158,PRO67495,9,9591,86319,WAR00001
LIN37038,QUO06797,PRO09500,8,6194,49552,WAR00001
LIN22606,QUO87854,PRO74373,8,7854,62832,WAR00001
LIN79275,QUO70207,PRO14701,14,6030,84420,WAR00001
LIN96626,QUO35638,PRO29563,2,4923,9846,WAR00001
LIN44881,QUO49625,PRO83380,7,6138,42966,WAR00003
LIN16363,QUO03388,PRO92316,16,8114,129824,WAR00003
LIN00539,QUO18071,PRO75076,3,8325,24975,WAR00002
LIN24616,QUO51979,PRO83380,14,6138,85932,WAR00003
LIN90229,QUO95967,PRO09500,8,6194,49552,WAR00002
LIN95102,QUO04190,PRO86754,15,9327,139905,WAR00002
LIN48145,QUO32252,PRO46773,5,9613,48065,WAR00003
LIN36115,QUO89253,PRO83380,16,6138,98208,WAR00003
LIN69533,QUO11683,PRO39806,9,7529,67761,WAR00001
LIN18231,QUO99425,PRO61136,1,5239,5239,WAR00001
LIN39352,QUO53345,PRO65552,6,5999,35994,WAR00003
LIN78543,QUO15957,PRO56174,6,9231,55386,WAR00003
LIN23096,QUO50252,PRO93334,5,6267,31335,WAR00002
LIN22112,QUO30764,PRO61136,18,5239,94302,WAR00002
LIN79750,QUO03688,PRO74373,20,7854,157080,WAR00002
LIN00826,QUO78880,PRO21215,5,4332,21660,WAR00003
LIN24032,QUO97016,PRO67890,12,4880,58560,WAR00001
LIN37286,QUO26525,PRO13996,15,9851,147765,WAR00002
LIN19917,QUO22121,PRO41240,19,9402,178638,WAR00001
LIN24377,QUO64324,PRO12639,14,8917,124838,WAR00001
LIN50209,QUO32988,PRO46773,3,9613,28839,WAR00001
LIN78616,QUO38883,PRO98085,7,9212,64484,WAR00002
LIN62163,QUO05570,PRO86898,12,9816,117792,WAR00001
LIN10392,QUO06185,PRO83380,13,6138,79794,WAR00001
LIN05437,QUO45325,PRO70558,18,7843,141174,WAR00002
LIN24642,QUO57854,PRO77206,19,7670,145730,WAR00002
LIN98200,QUO69634,PRO71161,3,4550,13650,WAR00001
LIN17272,QUO83271,PRO14701,10,6030,60300,WAR00001
LIN60040,QUO68357,PRO26667,9,3888,34992,WAR00002
LIN97726,QUO60848,PRO09500,16,6194,99104,WAR00001
LIN90888,QUO71238,PRO71161,8,4550,36400,WAR00002
LIN66822,QUO33629,PRO83380,16,6138,98208,WAR00002
LIN53788,QUO52635,PRO03838,13,8952,116376,WAR00003
LIN64402,QUO08614,PRO97881,14,6562,91868,WAR00001
LIN65991,QUO04756,PRO71161,16,4550,72800,WAR00001
